,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,semi-furnished,unfurnished
293,4410,2,1,1,0,0,0,0,0,1,0,0,1
303,4500,3,1,1,1,0,1,0,0,0,0,0,0
205,6300,3,1,1,1,0,0,0,1,2,0,1,0
427,2145,3,1,2,1,0,1,0,0,0,1,0,0
102,5500,3,2,4,1,1,0,0,1,1,0,1,0
312,3600,3,1,1,1,0,1,0,1,0,1,0,0
75,4260,4,2,2,1,0,0,1,0,0,0,1,0
338,3780,2,1,2,1,1,1,0,0,0,0,1,0
236,2870,2,1,2,1,1,1,0,0,0,1,1,0
536,3420,5,1,2,0,0,0,0,0,0,0,0,1
89,8580,5,3,2,1,0,0,0,0,2,0,0,0
543,2910,3,1,1,0,0,0,0,0,0,0,0,0
381,4000,2,1,1,1,0,0,0,0,0,1,1,0
436,2145,3,1,2,1,0,1,0,0,0,1,0,0
196,7686,3,1,1,1,1,1,1,0,0,0,1,0
238,4510,4,2,2,1,0,1,0,0,0,0,1,0
342,7152,3,1,2,1,0,0,0,1,0,0,0,0
389,4600,4,1,2,1,0,0,0,0,0,0,1,0
108,3240,4,1,3,1,0,0,0,0,1,0,1,0
350,3420,2,1,2,1,0,0,1,0,1,0,1,0
206,5800,2,1,1,1,1,1,0,1,0,0,1,0
382,3150,3,1,2,1,0,1,0,0,0,0,0,0
272,4075,3,1,1,1,1,1,0,0,2,0,1,0
393,7424,3,1,1,0,0,0,0,0,0,0,0,1
96,9000,3,1,1,1,0,1,0,0,1,1,0,0
417,3640,2,1,1,1,0,0,0,0,0,0,0,0
348,3150,2,2,1,0,0,1,0,0,0,0,1,0
337,2145,4,2,1,1,0,1,0,0,0,1,0,1
1,8960,4,4,4,1,0,0,0,1,3,0,0,0
462,2160,3,1,2,0,0,1,0,0,0,0,1,0
12,6550,4,2,2,1,0,0,0,1,1,1,1,0
284,7770,2,1,1,1,0,0,0,0,1,0,0,0
354,8400,2,1,1,1,0,0,0,0,1,0,0,0
142,10500,4,2,2,1,0,0,0,0,1,0,1,0
433,3480,4,1,2,0,0,0,0,0,1,0,1,0
523,2787,4,2,2,1,0,0,0,0,0,0,0,0
185,3000,3,1,2,1,0,1,0,0,0,0,0,1
76,6420,3,2,3,1,0,0,0,1,0,1,0,0
132,5200,3,1,3,1,0,0,0,1,0,0,1,0
311,6060,2,1,1,1,0,1,0,0,1,0,1,0
464,4500,2,1,2,1,0,0,1,0,1,0,1,0
155,6100,3,2,1,1,0,1,0,0,2,1,0,0
542,3620,2,1,1,1,0,0,0,0,0,0,0,1
496,4000,2,1,1,1,0,0,0,0,0,0,0,1
484,3040,2,1,1,0,0,0,0,0,0,0,0,1
507,3600,2,1,1,1,0,0,0,0,0,0,0,1
252,9860,3,1,1,1,0,0,0,0,0,0,1,0
263,3968,3,1,2,0,0,0,0,0,0,0,1,0
240,3840,3,1,2,1,0,0,0,0,1,1,1,0
175,9800,4,2,2,1,1,0,0,0,2,0,1,0
385,3640,2,1,1,1,0,0,0,0,0,0,0,1
374,3520,2,2,1,1,0,1,0,0,0,0,1,0
10,13200,3,1,2,1,0,1,0,1,2,1,0,0
481,2700,2,1,1,0,0,0,0,0,0,0,0,0
112,4300,6,2,2,1,0,0,0,0,0,0,0,0
438,4500,2,1,1,0,0,0,0,0,0,0,1,0
213,4995,4,2,1,1,0,1,0,0,0,0,1,0
453,3069,2,1,1,1,0,0,0,0,1,0,0,1
474,4352,4,1,2,0,0,0,0,0,1,0,0,1
65,8880,3,2,2,1,0,1,0,1,1,0,0,0
403,12944,3,1,1,1,0,0,0,0,0,0,0,1
126,7160,3,1,1,1,0,1,0,0,2,1,0,1
395,3600,6,1,2,1,0,0,0,0,1,0,0,1
285,6650,3,1,2,1,1,0,0,0,0,0,1,0
362,4050,2,1,1,1,0,0,0,0,0,0,0,0
319,3000,4,1,3,1,0,1,0,1,2,0,1,0
525,3640,2,1,1,1,0,0,0,0,0,0,0,1
245,5360,3,1,2,1,0,0,0,0,2,1,0,1
7,16200,5,3,2,1,0,0,0,0,0,0,0,1
375,5960,3,1,2,1,1,1,0,0,0,0,0,1
